sample_id,task,FiP,CFV
s0,predictive,,
s0,descriptive,1.0,
s0,prescriptive,1.0,
s0,whatif,,0.5
s1,predictive,,
s1,descriptive,1.0,
s1,prescriptive,1.0,
s1,whatif,,0.75
s2,predictive,,
s2,descriptive,1.0,
s2,prescriptive,1.0,
s2,whatif,,0.0
s3,predictive,,
s3,descriptive,0.8333333333333334,
s3,prescriptive,1.0,
s3,whatif,,0.6666666666666666
s4,predictive,,
s4,descriptive,1.0,
s4,prescriptive,1.0,
s4,whatif,,0.6666666666666666
